대륙,국적,성별,D-1(문화예술),D-2(유학),D-3(기술연수),D-4(일반연수),D-5(취재),D-6(종교),D-7(주재),D-8(기업투자),D-9(무역경영),D-10(구직),E-1(교수),E-2(회화강사),E-3(연구),E-4(기술지도),E-5(전문직업),E-6(예술흥행),E-7(특정활동),E-9(비전문취업),E-10(선원취업),F-1(방문동거),F-2(거주),F-3(동반),F-5(영주),F-6(결혼이민),G-1(기타),H-1(관광취업),H-2(방문취업),기타(other)
유럽주,알바니아,남성,,3,,,,,,,,,,,,,,,1,,,,,2,1,3,,,,
유럽주,알바니아,여성,,2,,3,,,,,,,,,,,,1,1,,,,,2,,4,,,,
유럽주,룩셈부르크,남성,,5,,,,,,,,,1,,,,,,,,,,,,,1,,,,
유럽주,룩셈부르크,여성,,6,,1,,,,,,,1,,,,,,,,,,,1,,,,,,
유럽주,아이슬란드,남성,,5,,,,,,,,,,,,,,,,,,,,,1,2,,,,
유럽주,아이슬란드,여성,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
유럽주,보스니아-헤르체고비나,남성,,1,,,,,,1,,,,,,3,,1,,,,,,1,,1,1,,,
유럽주,보스니아-헤르체고비나,여성,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,
유럽주,마케도니아,남성,,,,,,,,,,,,,1,,,,1,,,,,,,2,,,,1
유럽주,마케도니아,여성,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1
유럽주,몰타,남성,,,,,,1,,,,,,,,,,,,,,,,2,,1,,,,
유럽주,몰타,여성,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,
유럽주,몬테네그로,남성,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,
유럽주,몬테네그로,여성,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
유럽주,코소보,남성,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,
유럽주,코소보,여성,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
유럽주,안도라,남성,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
오세아니아주,오스트레일리아,남성,,27,,4,1,6,12,36,27,1,30,132,16,12,20,25,102,,,25,40,63,112,270,1,16,,65
오세아니아주,오스트레일리아,여성,,61,,13,,2,1,10,2,4,8,149,,,1,9,53,,,15,10,125,34,76,,11,,60
오세아니아주,뉴질랜드,남성,,6,,1,1,5,4,10,5,4,22,88,2,2,13,1,29,,,4,16,26,85,166,,7,,29
오세아니아주,뉴질랜드,여성,,5,,2,,4,,,,2,9,75,,,,,29,,,6,11,36,14,26,1,6,,10
오세아니아주,피지,남성,,6,,4,,,,,,,,,,,,,2,,,7,,,,2,,,,11
오세아니아주,피지,여성,,7,,1,,,,,,,1,,,,,,,,,11,1,,,3,,,,9
오세아니아주,키리바시,남성,,,,18,,,,,,,,,,,,,,,,,,,,,,,,
오세아니아주,키리바시,여성,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
오세아니아주,솔로몬군도,남성,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
오세아니아주,솔로몬군도,여성,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,1
오세아니아주,바누아투,남성,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,
오세아니아주,팔라우,남성,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,
오세아니아주,파푸아뉴기니,여성,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,
오세아니아주,통가,남성,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
오세아니아주,통가,여성,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
오세아니아주,나우루,남성,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,
아프리카주,이집트,남성,,82,,12,,1,,43,28,2,8,,31,,1,,18,1,,4,30,91,9,69,1946,,,64
아프리카주,이집트,여성,1,48,,7,,1,,3,,3,3,1,1,,,,2,,,10,19,141,1,16,108,,,22
아프리카주,남아프리카공화국,남성,,10,,1,,3,2,8,4,5,20,640,,2,4,14,27,1,,2,15,42,21,109,196,,,17
아프리카주,남아프리카공화국,여성,,11,,5,,,,1,,7,15,1142,,,,9,22,,,4,6,65,2,26,26,,,19
아프리카주,나이지리아,남성,,213,,27,,7,2,86,122,24,2,,10,,,4,4,28,,5,8,148,26,139,891,,,117
아프리카주,나이지리아,여성,,44,,14,,2,,12,10,13,,,,,,,2,2,,3,4,216,,1,70,,,50
아프리카주,가나,남성,,287,,20,,4,,13,14,30,7,,10,,,3,11,34,,37,5,22,1,19,419,,,41
아프리카주,가나,여성,,54,,3,,,,3,1,13,,,1,,,,2,1,,7,5,36,2,1,40,,,23
아프리카주,모로코,남성,,20,,20,,,,1,2,3,2,,1,,,1,7,1,,4,4,5,12,73,526,,,12
아프리카주,모로코,여성,,59,,31,,,,3,,4,,,,,,2,6,,,16,8,14,1,149,134,,,15
아프리카주,에티오피아,남성,1,212,,18,,2,1,1,,7,7,,19,,,,11,,,9,91,14,7,6,141,,,44
아프리카주,에티오피아,여성,,55,,6,,,1,,,4,,,1,,,,2,,,18,54,38,1,13,73,,,45
아프리카주,카메룬,남성,,193,,13,,,,1,,52,2,,2,,,,8,,,2,16,32,2,10,166,,,51
아프리카주,카메룬,여성,,72,,5,,1,,,,25,,,3,,,,,,,8,11,70,,4,53,,,16
아프리카주,라이베리아,남성,,16,,3,,1,,,,6,,,,,,,,,,,3,2,,4,321,,,29
아프리카주,라이베리아,여성,,4,,1,,1,,,,3,,,,,,,,,,,2,1,,1,92,,,7
아프리카주,우간다,남성,,94,,16,,,,1,,23,,,6,,,1,5,,,1,11,4,,16,138,,,10
아프리카주,우간다,여성,,43,,11,,3,,,,20,1,,1,,,,3,,,,10,13,,,50,,,12
아프리카주,알제리,남성,,22,,4,,,,2,6,,,,2,,,,6,1,,1,5,,4,4,271,,,12
아프리카주,알제리,여성,,23,,8,,,,,1,1,1,,,,,,,,,5,5,4,2,26,14,,,6
아프리카주,리비아,남성,,10,,5,,1,,55,12,,,,,,,,,,,2,8,74,1,2,24,,,42
아프리카주,리비아,여성,,5,,,,,,1,1,,,,,,,1,,,,6,4,89,,,3,,,37
아프리카주,케냐,남성,,117,,17,,3,,2,,13,1,,2,,,2,6,,,1,9,13,,7,42,,,13
아프리카주,케냐,여성,,47,,6,,,,,2,7,,,,,,2,4,,,7,5,12,,4,23,,,15
아프리카주,세네갈,남성,,10,,1,,,,,,1,1,,,,,3,2,,,2,1,3,,7,262,,,19
아프리카주,세네갈,여성,,13,,5,,,,,,2,,,,,,1,1,,,,,,,,15,,,7
아프리카주,튀니지,남성,,13,,2,,,,1,1,1,1,,3,1,,,3,,,,4,2,3,13,110,,,15
아프리카주,튀니지,여성,,19,,7,,,,1,,2,2,,3,,,,1,,,2,3,8,,21,19,,,8
아프리카주,기니,남성,,12,,4,,,,,,1,,,,,,,,,,,5,2,,3,177,,,7
아프리카주,기니,여성,,5,,3,,,,,,,,,,,,,,,,,3,1,,,24,,,9
아프리카주,수단,남성,,19,,4,,,,6,1,5,1,,2,,,,11,,,1,15,13,2,1,53,,,41
아프리카주,수단,여성,,20,,5,,,,,1,,,,,,,,1,,,2,4,25,,,5,,,17
아프리카주,탄자니아,남성,,80,,12,,3,,,,4,,,,,,,4,,,3,1,1,,8,58,,,4
아프리카주,탄자니아,여성,,31,,7,,1,,,,4,,,,,,,3,,,4,1,3,1,1,16,,,1
아프리카주,르완다,남성,,101,,3,,,,,,9,,,2,,,,4,,,1,3,5,,2,19,,,6
아프리카주,르완다,여성,,46,,4,,,,,,5,,,,,,,2,,,2,3,12,1,,8,,,6
아프리카주,콩고민주공화국,남성,,50,,6,,2,,,,3,1,,4,,,,9,1,,4,21,1,1,2,35,,,7
아프리카주,콩고민주공화국,여성,,11,,3,,1,,,,1,,,,,,,,,,2,16,10,1,,16,,,5
아프리카주,말리,남성,,36,,10,,,,2,,1,,,,,,1,,,,,5,1,,5,123,,,3
아프리카주,말리,여성,,3,,1,,,,,,,,,,,,,,,,,2,2,,,9,,,
아프리카주,코트디부아르,남성,,13,,8,,,,,,2,,,1,,,1,2,,,1,2,2,,3,49,,,17
아프리카주,코트디부아르,여성,,3,,6,,,,,,,,,,,,3,,1,,2,5,1,,1,19,,,15
아프리카주,앙골라,남성,,10,,3,,,,1,,,,,,,,,2,,,2,2,2,,3,63,,,20
아프리카주,앙골라,여성,,4,,2,,1,,,,1,,,,,,,,,,,1,,,1,8,,,15
아프리카주,감비아,남성,,10,,2,,,,,1,1,,,,,,2,,,,,1,,,,108,,,8
아프리카주,감비아,여성,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,3
아프리카주,부룬디,남성,,22,,2,,,,,,3,1,,2,,,,2,,,,9,3,,,20,,,
아프리카주,부룬디,여성,,8,,,,,,,,3,,,,,,,,,,,16,3,,1,9,,,
아프리카주,짐바브웨,남성,,27,,1,,,,,1,4,,,1,,,2,4,1,,,,5,1,,6,,,4
아프리카주,짐바브웨,여성,,11,,1,,1,,,,1,,,1,,,,2,,,2,1,6,,,7,,,4
아프리카주,잠비아,남성,,18,,1,,6,,,,2,1,,,,,,,,,1,,,1,,,,,13
아프리카주,잠비아,여성,,10,,2,,,,,,,,,,,,,,,,3,1,4,,1,,,,20
아프리카주,가봉,남성,,14,,3,,,,,,4,,,,,,,1,,,1,2,,1,,3,,,9
아프리카주,가봉,여성,,8,,5,,,,,,,,,,,,,1,,,,,1,1,,2,,,5
아프리카주,시에라리온,남성,,3,,1,,,,,,1,,,,,,,1,,,3,,1,,2,16,,,12
아프리카주,시에라리온,여성,,1,,,,,,,,,,,,,,,,,,3,,2,,,6,,,8
아프리카주,모잠비크,남성,,7,,6,,2,,,2,,,,,,,,,,,,,3,,2,13,,,
아프리카주,모잠비크,여성,,7,,2,,,,,2,2,,,,,,,,,,,,4,,1,1,,,
아프리카주,토고,남성,,7,,2,,1,,,,,,,,,,,,,,,2,1,1,1,19,,,1
아프리카주,토고,여성,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,6
아프리카주,부르키나파소,남성,,3,,1,,,,,,,,,,,,2,,,,,1,,,2,23,,,2
아프리카주,부르키나파소,여성,,4,,1,,,,,,,,,,,,,,,,,,,,,3,,,2
아프리카주,마다가스카르,남성,,1,,,,2,,,,,,,,,1,,,,,,,2,,,,,,
아프리카주,마다가스카르,여성,,8,,3,,,,,,,,,,,,,1,,,1,2,4,,4,,,,
아프리카주,베냉,남성,,6,,2,,,,,1,1,1,,2,,,,,,,,,1,,1,6,,,3
아프리카주,베냉,여성,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
아프리카주,콩고,남성,,,,1,,,,,,1,,,,,,,1,,,1,1,,,1,12,,,
아프리카주,콩고,여성,,2,,,,,,,,,,,,,,,,,,1,2,1,,,1,,,
아프리카주,말라위,남성,,8,,1,,1,,,,,,,,,,,,2,,,,,,,,,,2
아프리카주,말라위,여성,,5,,,,,,,,1,,,,,,,,,,1,,,,,,,,3
아프리카주,보츠와나,남성,,5,,1,,,,,,,,,,,,,,,,,1,2,,1,,,,2
아프리카주,보츠와나,여성,,3,,2,,,,,,1,,,,,,,,,,,1,1,,,,,,3
아프리카주,모리셔스,남성,,,,1,,,,,,,,,,,,,3,,,,,3,,,,,,3
아프리카주,모리셔스,여성,,2,,1,,,,,,,,,1,,,,3,,,,,4,1,,,,,1
아프리카주,기니비사우,남성,,1,,,,,,,,,,,,,,,,,,1,,,,1,13,,,
아프리카주,기니비사우,여성,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
아프리카주,소말리아,남성,,5,,,,,,,,2,,,,,,,1,,,,2,,,,3,,,
아프리카주,소말리아,여성,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
아프리카주,남수단공화국,남성,,5,,,,,,,,,,,,,1,2,,,,,,,,,4,,,
아프리카주,남수단공화국,여성,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,
아프리카주,차드,남성,,2,,3,,,,,,2,,,,,,,,,,,1,,,3,1,,,1
아프리카주,차드,여성,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
아프리카주,에스와티니,남성,,1,,2,,1,,,,,,,,,,,,,,,,1,,,4,,,
아프리카주,에스와티니,여성,,1,,,,,,,,,,,,,,,1,,,,,2,,,,,,
아프리카주,에리트레아,남성,,1,,,,,,,,,,,,,,,,,,,4,,,,1,,,1
아프리카주,에리트레아,여성,,1,,,,,,,,,,,,,,,,,,,4,,,1,,,,
아프리카주,모리타니,남성,,2,,1,,,,,,4,,,,,,,,,,,,,,,1,,,
아프리카주,모리타니,여성,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,
아프리카주,중앙아프리카공화국,남성,,3,,,,1,,,,,,,,,,,1,,,,1,,,,,,,
아프리카주,중앙아프리카공화국,여성,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
아프리카주,적도기니,남성,,2,,1,,,,,,,,,,,,,,,,,,,,1,2,,,
아프리카주,레소토,남성,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,
아프리카주,레소토,여성,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
아프리카주,니제르,남성,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,
아프리카주,니제르,여성,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
아프리카주,코모로,남성,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
아프리카주,코모로,여성,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
아프리카주,나미비아,남성,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
아프리카주,나미비아,여성,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
아프리카주,지부티,여성,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
아프리카주,세이셸,남성,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
기타,무국적,남성,,3,,,,1,,,,,,,,,,,,,,17,5,,3,6,5,,1,
기타,무국적,여성,,,,1,,,,,,,,,,,,,,,,44,10,,1,8,1,,,
기타,미등록국가,남성,,8,,1,,,,,,1,,,,,,,,,,18,1,,,,,,,
기타,미등록국가,여성,,5,,,,,,,,1,,,,,,,,,,12,,,,1,,,,
기타,국제연합,남성,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
기타,국제연합,여성,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
