대륙,국적,성별,D-1(문화예술),D-2(유학),D-3(기술연수),D-4(일반연수),D-5(취재),D-6(종교),D-7(주재),D-8(기업투자),D-9(무역경영),D-10(구직),E-1(교수),E-2(회화강사),E-3(연구),E-4(기술지도),E-5(전문직업),E-6(예술흥행),E-7(특정활동),E-9(비전문취업),E-10(선원취업),F-1(방문동거),F-2(거주),F-3(동반),F-5(영주),F-6(결혼이민),G-1(기타),H-1(관광취업),H-2(방문취업),기타(other)
아시아주,터키,여성,,192,,47,,,3,,1,9,4,2,3,,,2,16,,,14,35,71,1,99,17,,,14
아시아주,이란,남성,1,124,1,11,,,2,4,7,7,10,1,54,,,1,28,30,,10,62,31,31,89,69,,,27
아시아주,이란,여성,,145,,36,,,,,,8,6,,15,,,2,10,,,13,45,108,4,21,19,,,17
아시아주,예멘공화국,남성,,18,,3,,,,25,11,2,4,1,2,,,,,,,4,33,48,,12,680,,,4
아시아주,예멘공화국,여성,,6,,2,,,,,,1,,,,,,,3,,,4,9,68,,3,93,,,
아시아주,라오스,남성,1,46,,8,,1,1,,,,1,,,,,15,,257,,13,1,3,,2,1,,,13
아시아주,라오스,여성,,53,,21,,,,,,2,,,,,,1,1,17,,67,4,8,38,423,10,,,7
아시아주,사우디아라비아,남성,,107,,148,,,,50,8,2,,1,,,,,11,,,6,2,157,,3,7,,,117
아시아주,사우디아라비아,여성,,34,,25,,,,,,2,,,,,,,3,,,3,1,229,,2,11,,,75
아시아주,싱가포르,남성,,55,,11,,,10,32,18,2,7,,5,1,2,2,37,,,3,8,19,8,35,,,,14
아시아주,싱가포르,여성,,101,,27,1,2,1,20,3,4,,,1,,,3,33,,,4,27,47,24,73,,,,16
아시아주,아랍에미리트연합,남성,,36,,6,,,2,,1,,,,,,,,,,,,,,,,223,,,53
아시아주,아랍에미리트연합,여성,,22,,,,,,,1,,,,,,,,,,,,,,,,194,,,34
아시아주,타지키스탄,남성,,65,,41,,,,8,9,9,,,1,,,,7,,,40,10,20,1,2,29,,73,8
아시아주,타지키스탄,여성,,18,,13,,,,1,,2,,,,,,,1,,,46,7,23,,5,2,,48,7
아시아주,아프가니스탄,남성,,56,,5,,,,42,4,3,,,,,,,2,,,2,11,28,2,7,67,,,25
아시아주,아프가니스탄,여성,,3,,3,,,,,,1,,,,,,,,,,2,8,49,,,4,,,16
아시아주,이라크,남성,,21,,8,,,,24,19,2,,,3,,,,2,1,,3,4,35,1,4,52,,,28
아시아주,이라크,여성,,14,,5,,,,1,,1,,,,,,,1,,,1,4,60,,4,14,,,25
아시아주,요르단,남성,,21,,7,,,,44,38,3,1,1,3,,,,4,,,1,6,31,4,7,22,,,7
아시아주,요르단,여성,,21,,2,,,,,,1,1,2,2,,,,2,,,1,6,76,,2,,,,4
아시아주,투르크메니스탄,남성,,27,,8,,,,1,,3,,,,,,,,,,35,3,2,1,2,1,,72,9
아시아주,투르크메니스탄,여성,,17,,10,,,,,,2,,,,,,,1,,,30,,3,,8,,,46,13
아시아주,이스라엘,남성,,4,,2,,,2,13,2,,2,,,,,,3,,,1,3,6,3,9,,,,11
아시아주,이스라엘,여성,,11,,6,,,,1,,1,,,,,,1,2,,,2,3,25,,8,,6,,12
아시아주,마카오,남성,,2,,3,,,1,2,,,,,,,,1,5,,,1,,,1,1,,,,
아시아주,마카오,여성,,48,,15,,,,,,2,,,,,,,2,,,2,2,1,4,11,1,,,
아시아주,쿠웨이트,남성,,35,,1,,,1,,4,,,,,,,,,,,,,,,,,,,12
아시아주,쿠웨이트,여성,,1,,1,,,,,,,,,,,,,,,,,1,2,,1,,,,8
아시아주,브루나이,남성,,5,,,,,,,,,,,,,3,,,,,1,,,,,,,,8
아시아주,브루나이,여성,,25,,5,,,,,,,,,,,,,1,,,2,,,,1,,,,9
아시아주,팔레스타인,남성,,7,,,,,,7,2,,1,,,,,,,,,1,2,3,5,2,6,,,
